1 // server
2 // machine
50 // customer

 //p, q, a
9 5 0 //M0
2 9 0 //M1

 M0  M1 
9 2  //C0
6 6  //C1
1 5  //C2
2 5  //C3
8 2  //C4
5 5  //C5
3 5  //C6
5 6  //C7
3 1  //C8
9 3  //C9
4 0  //C10
4 9  //C11
6 9  //C12
4 1  //C13
1 5  //C14
5 3  //C15
1 9  //C16
9 8  //C17
2 2  //C18
6 9  //C19
5 3  //C20
2 0  //C21
9 6  //C22
5 2  //C23
6 3  //C24
3 7  //C25
4 7  //C26
5 9  //C27
7 6  //C28
9 1  //C29
1 0  //C30
4 3  //C31
6 1  //C32
4 4  //C33
6 7  //C34
4 0  //C35
5 0  //C36
8 1  //C37
7 4  //C38
9 9  //C39
4 1  //C40
5 7  //C41
1 7  //C42
8 3  //C43
3 9  //C44
0 5  //C45
2 4  //C46
7 4  //C47
8 8  //C48
3 8  //C49
