1 // server
3 // machine
100 // customer

 //p, q, a
1 5 0 //M0
6 5 0 //M1
1 9 0 //M2

 M0  M1  M2 
0 4 6  //C0
6 1 4  //C1
0 5 0  //C2
5 7 7  //C3
2 0 8  //C4
0 3 1  //C5
5 7 8  //C6
5 7 5  //C7
6 0 6  //C8
5 0 8  //C9
3 6 4  //C10
1 4 8  //C11
5 7 4  //C12
0 7 6  //C13
2 1 7  //C14
5 2 2  //C15
9 0 0  //C16
4 9 3  //C17
0 5 7  //C18
0 9 1  //C19
7 5 5  //C20
1 1 1  //C21
2 0 5  //C22
9 4 6  //C23
7 5 0  //C24
1 3 6  //C25
7 0 7  //C26
4 5 9  //C27
8 9 7  //C28
1 1 9  //C29
1 4 7  //C30
3 2 1  //C31
1 0 9  //C32
6 3 1  //C33
6 9 5  //C34
4 6 3  //C35
3 8 2  //C36
0 2 9  //C37
3 3 9  //C38
6 3 1  //C39
4 0 9  //C40
6 7 0  //C41
8 3 3  //C42
8 0 2  //C43
6 1 6  //C44
6 8 6  //C45
3 4 2  //C46
3 8 2  //C47
7 0 2  //C48
8 0 9  //C49
2 4 7  //C50
7 2 2  //C51
1 0 2  //C52
5 5 3  //C53
0 4 8  //C54
9 4 1  //C55
2 7 5  //C56
3 2 8  //C57
9 0 2  //C58
7 9 6  //C59
8 9 3  //C60
4 6 6  //C61
5 8 8  //C62
3 4 8  //C63
3 8 8  //C64
9 3 3  //C65
4 7 6  //C66
1 6 2  //C67
4 8 1  //C68
8 8 2  //C69
0 4 1  //C70
5 7 5  //C71
9 5 8  //C72
2 3 5  //C73
2 8 3  //C74
6 9 4  //C75
0 9 6  //C76
8 2 1  //C77
0 6 3  //C78
0 0 7  //C79
4 7 9  //C80
6 3 9  //C81
7 7 0  //C82
2 9 7  //C83
4 2 3  //C84
0 8 7  //C85
9 7 9  //C86
6 7 9  //C87
5 1 2  //C88
9 5 0  //C89
2 9 5  //C90
1 7 6  //C91
6 5 5  //C92
3 9 1  //C93
4 8 9  //C94
9 3 0  //C95
7 9 8  //C96
6 1 3  //C97
8 7 9  //C98
0 1 1  //C99
