1 // server
2 // machine
100 // customer

 //p, q, a
5 9 0 //M0
8 9 0 //M1

 M0  M1 
2 8  //C0
8 4  //C1
7 5  //C2
8 1  //C3
0 8  //C4
1 7  //C5
1 6  //C6
9 5  //C7
9 2  //C8
3 8  //C9
5 6  //C10
8 0  //C11
9 3  //C12
3 5  //C13
4 3  //C14
5 2  //C15
4 9  //C16
2 1  //C17
8 2  //C18
1 6  //C19
5 2  //C20
9 1  //C21
3 8  //C22
5 0  //C23
3 7  //C24
7 3  //C25
5 9  //C26
4 5  //C27
0 8  //C28
4 3  //C29
2 3  //C30
7 6  //C31
2 9  //C32
3 1  //C33
4 7  //C34
6 6  //C35
0 7  //C36
2 2  //C37
7 6  //C38
6 1  //C39
8 2  //C40
1 6  //C41
6 2  //C42
6 4  //C43
5 6  //C44
1 0  //C45
8 8  //C46
4 2  //C47
5 3  //C48
8 4  //C49
5 3  //C50
6 6  //C51
0 0  //C52
2 8  //C53
7 1  //C54
8 3  //C55
1 2  //C56
4 9  //C57
1 0  //C58
0 0  //C59
2 8  //C60
6 7  //C61
6 6  //C62
8 1  //C63
3 0  //C64
7 3  //C65
8 1  //C66
6 5  //C67
6 5  //C68
6 5  //C69
9 8  //C70
7 3  //C71
8 7  //C72
8 5  //C73
3 5  //C74
0 5  //C75
3 7  //C76
2 6  //C77
7 8  //C78
9 4  //C79
2 0  //C80
5 6  //C81
4 4  //C82
5 9  //C83
6 9  //C84
2 6  //C85
3 4  //C86
1 3  //C87
0 2  //C88
8 8  //C89
7 3  //C90
8 7  //C91
9 1  //C92
0 0  //C93
9 9  //C94
8 7  //C95
5 2  //C96
3 8  //C97
3 0  //C98
9 3  //C99
