1 // server
2 // machine
200 // customer

 //p, q, a
8 5 0 //M0
6 6 0 //M1

 M0  M1 
4 2  //C0
6 0  //C1
3 1  //C2
8 8  //C3
6 5  //C4
2 0  //C5
5 4  //C6
9 7  //C7
4 9  //C8
1 3  //C9
9 8  //C10
7 4  //C11
6 5  //C12
8 4  //C13
7 9  //C14
6 6  //C15
0 2  //C16
1 0  //C17
3 5  //C18
8 8  //C19
2 4  //C20
8 5  //C21
4 5  //C22
0 5  //C23
9 0  //C24
5 9  //C25
3 2  //C26
6 6  //C27
5 1  //C28
4 7  //C29
2 3  //C30
1 6  //C31
8 6  //C32
0 3  //C33
3 8  //C34
4 9  //C35
1 3  //C36
0 4  //C37
0 1  //C38
0 0  //C39
5 3  //C40
4 6  //C41
4 7  //C42
3 8  //C43
6 4  //C44
4 2  //C45
0 0  //C46
5 9  //C47
3 1  //C48
7 8  //C49
5 6  //C50
1 1  //C51
5 5  //C52
8 0  //C53
1 1  //C54
6 4  //C55
0 3  //C56
2 9  //C57
9 4  //C58
2 0  //C59
3 1  //C60
6 8  //C61
3 1  //C62
8 0  //C63
7 1  //C64
1 8  //C65
4 2  //C66
5 8  //C67
1 3  //C68
0 8  //C69
9 2  //C70
7 4  //C71
8 0  //C72
1 7  //C73
8 6  //C74
9 8  //C75
9 6  //C76
4 3  //C77
9 2  //C78
7 3  //C79
7 7  //C80
2 9  //C81
0 7  //C82
0 7  //C83
8 3  //C84
7 6  //C85
3 3  //C86
1 0  //C87
4 1  //C88
9 3  //C89
0 1  //C90
2 0  //C91
1 2  //C92
9 7  //C93
7 1  //C94
8 8  //C95
5 6  //C96
1 2  //C97
0 7  //C98
4 1  //C99
0 4  //C100
8 4  //C101
9 3  //C102
5 5  //C103
5 4  //C104
9 7  //C105
2 4  //C106
3 5  //C107
5 2  //C108
8 8  //C109
7 2  //C110
0 7  //C111
4 8  //C112
0 6  //C113
1 9  //C114
0 7  //C115
7 8  //C116
2 5  //C117
2 7  //C118
1 7  //C119
6 3  //C120
2 3  //C121
2 1  //C122
5 1  //C123
3 5  //C124
6 7  //C125
8 6  //C126
4 8  //C127
3 1  //C128
9 0  //C129
3 8  //C130
4 5  //C131
4 1  //C132
0 4  //C133
2 7  //C134
2 7  //C135
0 0  //C136
1 3  //C137
9 7  //C138
4 3  //C139
2 9  //C140
3 6  //C141
2 2  //C142
8 0  //C143
3 4  //C144
2 1  //C145
7 0  //C146
4 8  //C147
9 6  //C148
8 0  //C149
0 1  //C150
8 5  //C151
2 8  //C152
6 8  //C153
5 0  //C154
8 6  //C155
6 6  //C156
7 3  //C157
4 7  //C158
3 1  //C159
2 9  //C160
0 7  //C161
5 1  //C162
0 9  //C163
5 2  //C164
3 2  //C165
8 3  //C166
3 1  //C167
0 8  //C168
3 3  //C169
5 0  //C170
5 3  //C171
5 5  //C172
4 1  //C173
3 0  //C174
3 1  //C175
3 6  //C176
8 0  //C177
0 1  //C178
9 1  //C179
8 7  //C180
2 2  //C181
7 5  //C182
8 2  //C183
2 6  //C184
3 6  //C185
4 9  //C186
6 2  //C187
3 7  //C188
1 0  //C189
6 8  //C190
6 4  //C191
9 1  //C192
9 1  //C193
5 2  //C194
1 9  //C195
9 2  //C196
5 8  //C197
8 3  //C198
5 0  //C199
