1 // server
3 // machine
50 // customer

 //p, q, a
6 9 0 //M0
2 9 0 //M1
6 6 0 //M2

 M0  M1  M2 
3 6 6  //C0
2 4 5  //C1
2 5 9  //C2
7 0 9  //C3
3 7 3  //C4
9 1 8  //C5
3 7 4  //C6
5 8 2  //C7
3 9 6  //C8
4 2 9  //C9
9 2 4  //C10
1 3 6  //C11
1 4 2  //C12
1 5 6  //C13
1 6 6  //C14
0 6 0  //C15
8 7 7  //C16
3 5 8  //C17
1 8 7  //C18
4 9 5  //C19
8 7 2  //C20
0 8 8  //C21
5 2 3  //C22
7 8 7  //C23
6 2 1  //C24
7 3 1  //C25
6 2 2  //C26
6 6 5  //C27
1 6 7  //C28
5 9 5  //C29
8 7 5  //C30
6 2 7  //C31
3 1 8  //C32
8 5 4  //C33
6 0 8  //C34
0 7 2  //C35
6 3 4  //C36
6 7 6  //C37
3 1 1  //C38
6 8 2  //C39
0 9 2  //C40
8 9 1  //C41
2 9 0  //C42
4 4 2  //C43
3 7 7  //C44
7 0 5  //C45
7 1 9  //C46
5 8 6  //C47
1 2 9  //C48
8 3 0  //C49
