1 // server
3 // machine
100 // customer

 //p, q, a
4 5 0 //M0
3 9 0 //M1
2 3 0 //M2

 M0  M1  M2 
5 6 5  //C0
5 8 2  //C1
1 5 1  //C2
3 5 4  //C3
4 1 0  //C4
2 5 7  //C5
2 9 0  //C6
8 3 6  //C7
9 9 1  //C8
0 2 6  //C9
8 0 5  //C10
8 3 4  //C11
2 0 1  //C12
8 5 0  //C13
5 7 6  //C14
8 4 0  //C15
4 0 8  //C16
5 6 2  //C17
0 7 2  //C18
8 5 8  //C19
0 0 2  //C20
4 5 5  //C21
8 5 8  //C22
6 0 5  //C23
5 4 3  //C24
0 3 6  //C25
0 0 5  //C26
0 5 1  //C27
8 2 4  //C28
3 7 5  //C29
1 3 4  //C30
3 7 5  //C31
7 0 2  //C32
0 0 8  //C33
2 8 0  //C34
3 0 1  //C35
8 0 4  //C36
5 7 5  //C37
2 9 5  //C38
0 6 2  //C39
1 5 8  //C40
2 4 7  //C41
0 2 6  //C42
8 2 2  //C43
3 9 0  //C44
7 7 6  //C45
1 5 2  //C46
2 4 7  //C47
1 6 5  //C48
9 0 8  //C49
9 6 3  //C50
9 9 4  //C51
0 0 3  //C52
2 2 7  //C53
5 0 7  //C54
1 1 7  //C55
4 5 1  //C56
8 9 1  //C57
0 8 0  //C58
0 1 8  //C59
1 1 2  //C60
8 8 6  //C61
9 4 0  //C62
6 7 7  //C63
3 8 3  //C64
4 7 3  //C65
9 9 4  //C66
7 4 4  //C67
6 0 7  //C68
2 9 0  //C69
3 9 9  //C70
5 0 0  //C71
5 6 1  //C72
1 2 7  //C73
7 8 8  //C74
4 5 0  //C75
8 5 1  //C76
7 1 1  //C77
4 4 6  //C78
7 2 8  //C79
8 6 5  //C80
9 2 8  //C81
8 8 7  //C82
2 8 0  //C83
2 8 6  //C84
6 9 6  //C85
6 2 5  //C86
7 4 3  //C87
9 6 8  //C88
7 1 6  //C89
3 8 4  //C90
3 3 5  //C91
2 8 6  //C92
0 5 7  //C93
2 5 6  //C94
1 4 2  //C95
4 7 4  //C96
0 1 9  //C97
2 1 2  //C98
1 0 5  //C99
