1 // server
3 // machine
50 // customer

 //p, q, a
9 2 0 //M0
2 5 0 //M1
7 5 0 //M2

 M0  M1  M2 
1 9 2  //C0
2 7 9  //C1
7 2 2  //C2
2 9 8  //C3
4 1 9  //C4
6 7 8  //C5
5 4 6  //C6
2 4 5  //C7
6 2 1  //C8
5 0 4  //C9
2 2 5  //C10
7 0 2  //C11
7 4 0  //C12
7 9 6  //C13
7 0 7  //C14
3 7 4  //C15
6 2 3  //C16
3 8 2  //C17
8 9 4  //C18
6 6 5  //C19
7 1 2  //C20
8 0 6  //C21
2 6 1  //C22
6 9 2  //C23
8 8 4  //C24
9 4 4  //C25
7 2 5  //C26
7 8 7  //C27
0 8 3  //C28
3 9 1  //C29
7 0 8  //C30
5 9 7  //C31
4 9 9  //C32
0 1 0  //C33
3 9 3  //C34
0 5 9  //C35
7 8 4  //C36
9 8 4  //C37
9 0 3  //C38
4 7 1  //C39
2 9 7  //C40
9 8 9  //C41
4 3 9  //C42
7 5 5  //C43
5 7 1  //C44
4 3 8  //C45
4 0 3  //C46
4 5 1  //C47
6 7 1  //C48
4 5 8  //C49
