1 // server
3 // machine
50 // customer

 //p, q, a
6 4 0 //M0
1 3 0 //M1
6 6 0 //M2

 M0  M1  M2 
5 5 3  //C0
5 6 9  //C1
3 3 1  //C2
2 8 9  //C3
4 4 3  //C4
1 6 5  //C5
2 4 5  //C6
1 4 4  //C7
3 4 0  //C8
8 4 5  //C9
6 3 6  //C10
6 5 7  //C11
3 2 8  //C12
6 1 2  //C13
9 3 6  //C14
5 4 8  //C15
7 4 7  //C16
4 0 0  //C17
9 4 1  //C18
9 2 2  //C19
9 5 9  //C20
5 5 4  //C21
2 8 8  //C22
6 7 3  //C23
6 5 3  //C24
3 1 1  //C25
7 7 0  //C26
1 0 9  //C27
8 1 3  //C28
6 6 1  //C29
5 4 0  //C30
6 7 5  //C31
2 4 7  //C32
2 3 5  //C33
9 1 6  //C34
3 7 4  //C35
6 6 3  //C36
0 1 5  //C37
1 7 5  //C38
0 7 3  //C39
1 6 1  //C40
7 0 3  //C41
2 0 8  //C42
8 1 6  //C43
3 5 4  //C44
4 2 9  //C45
2 4 4  //C46
8 9 0  //C47
8 5 2  //C48
5 4 9  //C49
