1 // server
2 // machine
200 // customer

 //p, q, a
4 8 0 //M0
5 7 0 //M1

 M0  M1 
3 2  //C0
6 9  //C1
8 1  //C2
2 8  //C3
3 0  //C4
2 2  //C5
6 3  //C6
1 1  //C7
6 8  //C8
3 3  //C9
7 7  //C10
1 4  //C11
4 5  //C12
2 3  //C13
6 5  //C14
1 7  //C15
4 2  //C16
7 3  //C17
3 1  //C18
9 3  //C19
5 4  //C20
1 4  //C21
4 6  //C22
1 2  //C23
4 4  //C24
2 5  //C25
4 1  //C26
0 5  //C27
0 1  //C28
5 2  //C29
9 9  //C30
2 8  //C31
8 5  //C32
8 4  //C33
5 8  //C34
8 4  //C35
9 0  //C36
7 3  //C37
6 7  //C38
0 7  //C39
4 9  //C40
8 1  //C41
2 6  //C42
3 2  //C43
2 2  //C44
2 2  //C45
5 6  //C46
4 5  //C47
1 3  //C48
5 9  //C49
8 7  //C50
6 6  //C51
6 8  //C52
5 3  //C53
3 7  //C54
9 3  //C55
1 8  //C56
7 0  //C57
1 0  //C58
5 2  //C59
2 5  //C60
1 3  //C61
5 5  //C62
9 2  //C63
5 1  //C64
1 2  //C65
2 1  //C66
9 7  //C67
2 2  //C68
5 4  //C69
0 9  //C70
8 4  //C71
3 8  //C72
1 7  //C73
9 4  //C74
4 1  //C75
8 2  //C76
7 2  //C77
5 3  //C78
0 0  //C79
9 3  //C80
8 1  //C81
5 6  //C82
1 0  //C83
9 0  //C84
7 9  //C85
5 0  //C86
2 2  //C87
6 7  //C88
0 6  //C89
4 1  //C90
3 1  //C91
7 0  //C92
4 9  //C93
3 6  //C94
1 9  //C95
1 4  //C96
5 7  //C97
0 6  //C98
9 6  //C99
7 0  //C100
7 8  //C101
7 5  //C102
5 7  //C103
0 4  //C104
5 8  //C105
2 3  //C106
6 7  //C107
0 6  //C108
4 5  //C109
1 2  //C110
6 2  //C111
8 7  //C112
7 1  //C113
5 5  //C114
1 9  //C115
7 3  //C116
9 3  //C117
3 4  //C118
4 1  //C119
4 7  //C120
8 9  //C121
0 3  //C122
6 7  //C123
7 7  //C124
6 4  //C125
2 3  //C126
5 5  //C127
4 5  //C128
9 9  //C129
8 4  //C130
1 5  //C131
2 5  //C132
0 9  //C133
4 2  //C134
3 5  //C135
2 3  //C136
1 4  //C137
3 6  //C138
1 5  //C139
0 9  //C140
3 8  //C141
8 7  //C142
7 4  //C143
8 4  //C144
9 8  //C145
5 4  //C146
3 0  //C147
5 3  //C148
7 5  //C149
3 7  //C150
3 4  //C151
4 1  //C152
1 8  //C153
2 0  //C154
2 8  //C155
3 4  //C156
8 8  //C157
0 3  //C158
7 4  //C159
8 5  //C160
1 0  //C161
3 5  //C162
0 8  //C163
0 0  //C164
8 9  //C165
8 6  //C166
1 3  //C167
6 8  //C168
3 6  //C169
6 8  //C170
2 7  //C171
1 1  //C172
5 0  //C173
5 4  //C174
9 2  //C175
6 3  //C176
6 7  //C177
6 2  //C178
1 8  //C179
1 3  //C180
8 1  //C181
2 2  //C182
9 6  //C183
2 5  //C184
1 2  //C185
9 0  //C186
8 9  //C187
3 4  //C188
8 2  //C189
9 9  //C190
2 5  //C191
1 5  //C192
3 5  //C193
0 4  //C194
7 3  //C195
7 5  //C196
5 3  //C197
0 1  //C198
4 9  //C199
