1 // server
3 // machine
100 // customer

 //p, q, a
6 7 0 //M0
9 9 0 //M1
9 7 0 //M2

 M0  M1  M2 
8 0 3  //C0
4 6 7  //C1
7 6 9  //C2
9 4 3  //C3
7 9 8  //C4
6 9 0  //C5
7 3 8  //C6
7 5 8  //C7
0 4 3  //C8
3 5 3  //C9
2 5 0  //C10
8 6 8  //C11
8 6 4  //C12
2 1 1  //C13
5 6 7  //C14
0 0 6  //C15
9 9 6  //C16
9 2 5  //C17
8 0 5  //C18
4 4 2  //C19
3 4 0  //C20
6 6 9  //C21
2 9 3  //C22
0 7 3  //C23
5 4 2  //C24
6 1 9  //C25
1 9 4  //C26
7 3 6  //C27
7 3 3  //C28
4 9 6  //C29
2 4 1  //C30
2 8 6  //C31
0 9 9  //C32
8 7 0  //C33
3 9 2  //C34
3 3 7  //C35
3 1 8  //C36
6 2 4  //C37
8 6 1  //C38
4 9 2  //C39
6 8 9  //C40
6 7 2  //C41
1 3 6  //C42
6 6 2  //C43
9 3 1  //C44
3 4 4  //C45
3 3 0  //C46
5 1 8  //C47
7 6 1  //C48
7 4 1  //C49
5 6 0  //C50
6 2 9  //C51
1 6 1  //C52
9 1 9  //C53
0 6 5  //C54
6 6 9  //C55
3 4 2  //C56
6 0 5  //C57
2 0 6  //C58
1 9 1  //C59
0 4 9  //C60
5 0 9  //C61
1 3 1  //C62
1 1 8  //C63
3 4 2  //C64
0 4 4  //C65
2 0 9  //C66
2 3 9  //C67
8 8 5  //C68
5 4 1  //C69
3 9 6  //C70
9 8 6  //C71
0 5 6  //C72
5 5 3  //C73
8 1 2  //C74
4 3 6  //C75
2 1 5  //C76
1 8 8  //C77
1 8 0  //C78
9 6 2  //C79
4 6 8  //C80
9 8 2  //C81
1 3 5  //C82
6 0 9  //C83
8 7 5  //C84
6 3 2  //C85
6 3 5  //C86
8 3 3  //C87
6 1 1  //C88
7 7 0  //C89
5 1 8  //C90
4 1 9  //C91
5 9 2  //C92
0 3 9  //C93
1 5 0  //C94
5 3 1  //C95
3 5 4  //C96
7 2 3  //C97
6 5 2  //C98
5 2 7  //C99
