1 // server
2 // machine
100 // customer

 //p, q, a
7 2 0 //M0
8 5 0 //M1

 M0  M1 
2 0  //C0
5 4  //C1
6 3  //C2
9 9  //C3
2 2  //C4
0 3  //C5
9 5  //C6
1 3  //C7
1 1  //C8
5 8  //C9
3 7  //C10
8 5  //C11
1 3  //C12
7 6  //C13
9 9  //C14
0 8  //C15
0 9  //C16
2 7  //C17
8 5  //C18
3 4  //C19
6 6  //C20
6 6  //C21
9 1  //C22
1 9  //C23
0 2  //C24
9 5  //C25
5 9  //C26
0 4  //C27
1 0  //C28
2 3  //C29
6 2  //C30
9 3  //C31
1 2  //C32
3 0  //C33
2 3  //C34
4 5  //C35
7 1  //C36
1 7  //C37
0 2  //C38
5 9  //C39
2 8  //C40
5 6  //C41
0 4  //C42
2 1  //C43
8 7  //C44
6 8  //C45
3 9  //C46
7 4  //C47
6 3  //C48
4 6  //C49
8 0  //C50
6 6  //C51
8 3  //C52
8 4  //C53
7 3  //C54
3 9  //C55
4 2  //C56
1 8  //C57
7 3  //C58
3 6  //C59
9 1  //C60
2 4  //C61
7 5  //C62
2 7  //C63
3 7  //C64
0 7  //C65
7 9  //C66
0 1  //C67
1 8  //C68
8 6  //C69
6 8  //C70
3 5  //C71
3 6  //C72
4 0  //C73
8 9  //C74
7 3  //C75
0 7  //C76
7 6  //C77
8 1  //C78
9 2  //C79
0 0  //C80
0 0  //C81
2 6  //C82
1 5  //C83
2 9  //C84
6 8  //C85
5 6  //C86
0 1  //C87
8 6  //C88
1 0  //C89
1 2  //C90
9 4  //C91
0 7  //C92
6 9  //C93
1 3  //C94
3 0  //C95
9 5  //C96
6 6  //C97
7 3  //C98
2 7  //C99
