1 // server
3 // machine
50 // customer

 //p, q, a
5 9 0 //M0
2 8 0 //M1
8 3 0 //M2

 M0  M1  M2 
3 3 1  //C0
3 5 2  //C1
0 0 2  //C2
9 4 1  //C3
2 5 7  //C4
4 0 7  //C5
8 8 3  //C6
6 3 0  //C7
8 0 7  //C8
1 2 5  //C9
3 7 9  //C10
9 1 9  //C11
7 0 4  //C12
1 3 5  //C13
8 6 2  //C14
9 1 9  //C15
0 0 9  //C16
4 9 9  //C17
8 6 0  //C18
0 5 5  //C19
4 9 7  //C20
7 6 7  //C21
2 3 4  //C22
7 6 9  //C23
2 6 4  //C24
7 7 6  //C25
7 8 9  //C26
8 0 2  //C27
6 8 7  //C28
0 1 4  //C29
8 7 5  //C30
9 7 4  //C31
8 1 0  //C32
5 7 7  //C33
5 2 4  //C34
0 2 2  //C35
4 0 8  //C36
4 2 6  //C37
6 6 8  //C38
4 1 7  //C39
9 1 2  //C40
9 9 8  //C41
3 3 9  //C42
0 9 6  //C43
6 2 1  //C44
1 2 7  //C45
8 5 5  //C46
4 6 1  //C47
5 4 5  //C48
9 3 1  //C49
