1 // server
2 // machine
200 // customer

 //p, q, a
6 3 0 //M0
9 7 0 //M1

 M0  M1 
7 6  //C0
7 3  //C1
0 6  //C2
6 2  //C3
9 8  //C4
4 0  //C5
0 7  //C6
2 6  //C7
6 6  //C8
7 0  //C9
5 3  //C10
7 2  //C11
4 7  //C12
3 0  //C13
2 1  //C14
4 4  //C15
9 0  //C16
6 2  //C17
3 5  //C18
1 9  //C19
5 8  //C20
0 0  //C21
7 5  //C22
8 0  //C23
1 9  //C24
4 9  //C25
4 8  //C26
1 4  //C27
9 5  //C28
9 2  //C29
2 6  //C30
0 7  //C31
4 0  //C32
0 0  //C33
0 9  //C34
2 0  //C35
5 7  //C36
4 6  //C37
3 6  //C38
4 9  //C39
9 2  //C40
9 2  //C41
7 4  //C42
9 0  //C43
8 2  //C44
3 8  //C45
6 8  //C46
6 8  //C47
7 2  //C48
6 7  //C49
4 8  //C50
0 1  //C51
7 3  //C52
3 6  //C53
3 4  //C54
0 3  //C55
0 9  //C56
3 9  //C57
7 8  //C58
0 9  //C59
0 9  //C60
1 7  //C61
6 3  //C62
3 7  //C63
0 6  //C64
9 0  //C65
0 7  //C66
5 1  //C67
2 8  //C68
5 3  //C69
0 3  //C70
7 3  //C71
1 0  //C72
7 6  //C73
5 7  //C74
1 9  //C75
2 6  //C76
6 4  //C77
6 2  //C78
4 3  //C79
0 6  //C80
5 7  //C81
5 0  //C82
2 3  //C83
4 1  //C84
7 9  //C85
3 6  //C86
8 7  //C87
2 7  //C88
5 6  //C89
6 6  //C90
2 3  //C91
4 9  //C92
8 3  //C93
1 0  //C94
4 9  //C95
3 1  //C96
3 4  //C97
7 9  //C98
8 1  //C99
7 4  //C100
1 3  //C101
9 2  //C102
6 5  //C103
7 8  //C104
1 8  //C105
6 8  //C106
6 3  //C107
3 2  //C108
3 5  //C109
1 9  //C110
2 4  //C111
6 7  //C112
5 1  //C113
3 4  //C114
0 3  //C115
9 4  //C116
9 2  //C117
4 8  //C118
4 2  //C119
3 3  //C120
6 2  //C121
9 5  //C122
2 5  //C123
4 9  //C124
0 5  //C125
6 2  //C126
0 7  //C127
1 7  //C128
6 1  //C129
6 5  //C130
1 3  //C131
8 8  //C132
9 2  //C133
8 4  //C134
8 4  //C135
8 0  //C136
2 8  //C137
3 9  //C138
4 1  //C139
5 0  //C140
6 4  //C141
3 5  //C142
7 6  //C143
3 1  //C144
0 7  //C145
2 2  //C146
5 7  //C147
1 2  //C148
4 1  //C149
5 0  //C150
6 0  //C151
1 6  //C152
6 5  //C153
0 2  //C154
4 2  //C155
2 5  //C156
6 5  //C157
8 7  //C158
0 2  //C159
1 3  //C160
8 7  //C161
3 1  //C162
2 5  //C163
4 4  //C164
6 0  //C165
5 3  //C166
5 5  //C167
3 6  //C168
3 7  //C169
8 1  //C170
6 1  //C171
6 8  //C172
4 7  //C173
5 0  //C174
9 4  //C175
2 1  //C176
0 2  //C177
1 9  //C178
6 9  //C179
3 1  //C180
0 5  //C181
5 4  //C182
7 8  //C183
0 1  //C184
1 2  //C185
3 2  //C186
4 9  //C187
7 7  //C188
0 5  //C189
6 5  //C190
9 4  //C191
5 1  //C192
7 4  //C193
3 2  //C194
4 4  //C195
9 3  //C196
3 7  //C197
0 0  //C198
5 1  //C199
