1 // server
3 // machine
100 // customer

 //p, q, a
6 3 0 //M0
7 8 0 //M1
5 2 0 //M2

 M0  M1  M2 
0 8 6  //C0
8 8 7  //C1
5 4 9  //C2
6 7 6  //C3
0 4 1  //C4
7 7 8  //C5
3 4 4  //C6
9 4 8  //C7
4 7 2  //C8
8 9 0  //C9
4 0 1  //C10
6 6 5  //C11
1 2 8  //C12
4 9 2  //C13
5 5 0  //C14
6 6 0  //C15
1 7 5  //C16
8 3 9  //C17
6 1 3  //C18
7 3 1  //C19
4 6 5  //C20
8 1 6  //C21
4 3 8  //C22
5 6 5  //C23
0 9 5  //C24
2 3 9  //C25
8 7 0  //C26
2 6 1  //C27
5 5 7  //C28
1 0 4  //C29
2 4 8  //C30
7 9 2  //C31
7 6 3  //C32
4 1 2  //C33
2 5 1  //C34
9 8 3  //C35
4 3 7  //C36
3 9 5  //C37
0 2 9  //C38
3 3 6  //C39
8 3 3  //C40
3 3 1  //C41
6 2 0  //C42
3 5 7  //C43
5 3 6  //C44
8 9 1  //C45
9 5 6  //C46
3 7 7  //C47
7 8 5  //C48
2 7 6  //C49
2 3 2  //C50
7 5 8  //C51
9 9 1  //C52
0 3 6  //C53
3 0 7  //C54
9 8 5  //C55
9 2 3  //C56
8 3 8  //C57
9 5 5  //C58
5 5 5  //C59
6 4 5  //C60
4 0 1  //C61
5 7 8  //C62
7 8 9  //C63
9 9 2  //C64
0 0 6  //C65
9 7 0  //C66
0 3 4  //C67
2 3 0  //C68
4 8 9  //C69
2 4 4  //C70
6 3 8  //C71
0 8 0  //C72
6 4 0  //C73
6 1 3  //C74
4 9 3  //C75
5 8 5  //C76
9 5 8  //C77
5 6 1  //C78
0 1 7  //C79
1 0 9  //C80
8 4 4  //C81
5 2 6  //C82
3 9 1  //C83
6 3 2  //C84
9 3 1  //C85
0 8 4  //C86
6 8 0  //C87
4 3 8  //C88
5 1 6  //C89
7 0 6  //C90
2 4 4  //C91
0 7 7  //C92
9 8 6  //C93
7 2 8  //C94
3 2 2  //C95
5 5 3  //C96
9 9 3  //C97
2 4 1  //C98
9 4 1  //C99
