1 // server
2 // machine
50 // customer

 //p, q, a
5 7 0 //M0
2 6 0 //M1

 M0  M1 
5 2  //C0
8 2  //C1
9 4  //C2
8 6  //C3
9 4  //C4
7 5  //C5
1 5  //C6
7 0  //C7
5 9  //C8
3 3  //C9
6 7  //C10
3 3  //C11
1 2  //C12
6 9  //C13
7 6  //C14
1 7  //C15
9 4  //C16
2 4  //C17
3 5  //C18
9 8  //C19
5 5  //C20
2 2  //C21
8 6  //C22
4 9  //C23
6 8  //C24
3 5  //C25
3 7  //C26
9 8  //C27
9 4  //C28
0 6  //C29
8 9  //C30
8 2  //C31
3 0  //C32
5 7  //C33
3 2  //C34
7 9  //C35
9 5  //C36
7 0  //C37
4 0  //C38
5 4  //C39
7 7  //C40
2 9  //C41
3 6  //C42
3 1  //C43
5 4  //C44
5 8  //C45
5 3  //C46
0 6  //C47
7 9  //C48
9 8  //C49
