1 // server
3 // machine
100 // customer

 //p, q, a
8 5 0 //M0
9 2 0 //M1
4 5 0 //M2

 M0  M1  M2 
6 2 2  //C0
0 4 4  //C1
1 7 3  //C2
7 1 3  //C3
7 1 6  //C4
1 0 3  //C5
1 9 7  //C6
6 8 8  //C7
5 1 8  //C8
5 4 9  //C9
6 0 8  //C10
0 2 5  //C11
7 5 6  //C12
0 0 9  //C13
7 0 7  //C14
0 5 5  //C15
9 7 3  //C16
6 9 4  //C17
6 0 4  //C18
4 5 2  //C19
6 5 2  //C20
4 0 1  //C21
5 6 9  //C22
0 3 5  //C23
7 0 9  //C24
8 9 8  //C25
0 5 6  //C26
2 6 7  //C27
5 0 0  //C28
3 4 2  //C29
1 3 0  //C30
3 4 4  //C31
6 2 9  //C32
5 4 8  //C33
6 8 4  //C34
8 9 9  //C35
5 8 1  //C36
5 3 0  //C37
6 3 9  //C38
5 8 0  //C39
1 1 2  //C40
6 9 9  //C41
5 3 5  //C42
4 2 6  //C43
8 5 0  //C44
7 5 8  //C45
3 7 1  //C46
0 8 6  //C47
0 5 9  //C48
0 7 1  //C49
4 0 3  //C50
8 3 3  //C51
6 9 8  //C52
4 3 5  //C53
4 0 5  //C54
4 6 8  //C55
9 9 8  //C56
1 2 1  //C57
9 1 3  //C58
6 5 3  //C59
0 5 6  //C60
4 9 1  //C61
2 9 1  //C62
6 1 5  //C63
9 9 3  //C64
5 5 7  //C65
0 6 8  //C66
1 0 8  //C67
2 3 8  //C68
2 9 2  //C69
0 9 4  //C70
4 4 8  //C71
9 0 0  //C72
4 1 6  //C73
6 2 8  //C74
2 2 2  //C75
8 4 5  //C76
5 6 9  //C77
5 8 4  //C78
7 1 6  //C79
2 0 0  //C80
9 6 1  //C81
1 4 5  //C82
5 5 5  //C83
6 5 4  //C84
2 4 7  //C85
9 0 1  //C86
5 3 5  //C87
7 4 3  //C88
4 9 5  //C89
3 1 9  //C90
4 1 1  //C91
6 7 6  //C92
6 0 7  //C93
7 2 8  //C94
0 9 0  //C95
4 3 3  //C96
7 7 0  //C97
5 6 6  //C98
5 2 2  //C99
