1 // server
2 // machine
200 // customer

 //p, q, a
2 6 0 //M0
6 6 0 //M1

 M0  M1 
9 5  //C0
9 8  //C1
7 4  //C2
0 2  //C3
0 6  //C4
8 2  //C5
1 1  //C6
3 7  //C7
3 0  //C8
6 6  //C9
7 8  //C10
1 8  //C11
8 8  //C12
5 3  //C13
4 0  //C14
0 2  //C15
4 6  //C16
5 5  //C17
3 1  //C18
9 9  //C19
6 6  //C20
9 4  //C21
5 3  //C22
4 8  //C23
4 3  //C24
9 1  //C25
8 9  //C26
8 1  //C27
4 1  //C28
0 9  //C29
8 6  //C30
7 9  //C31
5 6  //C32
7 4  //C33
6 7  //C34
4 2  //C35
0 7  //C36
9 1  //C37
9 7  //C38
2 4  //C39
3 7  //C40
8 1  //C41
1 8  //C42
3 5  //C43
8 4  //C44
1 1  //C45
0 0  //C46
0 9  //C47
9 9  //C48
9 9  //C49
6 0  //C50
1 6  //C51
9 6  //C52
1 1  //C53
9 7  //C54
1 6  //C55
8 6  //C56
5 1  //C57
8 6  //C58
8 6  //C59
2 2  //C60
5 2  //C61
6 2  //C62
2 0  //C63
6 9  //C64
2 9  //C65
7 3  //C66
8 2  //C67
5 1  //C68
1 4  //C69
7 1  //C70
5 1  //C71
2 4  //C72
3 3  //C73
4 9  //C74
1 2  //C75
1 2  //C76
7 3  //C77
4 9  //C78
0 6  //C79
4 0  //C80
4 9  //C81
5 2  //C82
9 5  //C83
8 2  //C84
6 6  //C85
4 3  //C86
8 0  //C87
6 4  //C88
0 1  //C89
9 8  //C90
6 7  //C91
8 9  //C92
8 5  //C93
6 4  //C94
8 5  //C95
1 5  //C96
0 7  //C97
7 5  //C98
6 0  //C99
5 7  //C100
5 1  //C101
2 5  //C102
7 7  //C103
3 6  //C104
6 0  //C105
9 8  //C106
7 5  //C107
3 6  //C108
1 5  //C109
3 4  //C110
9 4  //C111
4 0  //C112
4 9  //C113
3 1  //C114
3 1  //C115
8 9  //C116
6 1  //C117
3 5  //C118
4 2  //C119
1 1  //C120
1 9  //C121
7 8  //C122
6 2  //C123
7 4  //C124
3 0  //C125
4 0  //C126
6 1  //C127
8 1  //C128
6 2  //C129
0 8  //C130
3 2  //C131
2 5  //C132
1 9  //C133
2 5  //C134
2 8  //C135
2 8  //C136
3 2  //C137
2 9  //C138
6 6  //C139
4 2  //C140
1 9  //C141
7 3  //C142
6 7  //C143
3 5  //C144
3 1  //C145
8 2  //C146
1 3  //C147
7 8  //C148
6 1  //C149
6 6  //C150
9 2  //C151
1 5  //C152
8 5  //C153
6 4  //C154
8 8  //C155
4 0  //C156
7 8  //C157
6 3  //C158
5 9  //C159
8 3  //C160
6 6  //C161
2 1  //C162
9 9  //C163
7 0  //C164
4 4  //C165
2 5  //C166
9 8  //C167
2 9  //C168
8 2  //C169
5 1  //C170
1 8  //C171
7 4  //C172
7 8  //C173
4 3  //C174
7 4  //C175
3 7  //C176
2 2  //C177
9 2  //C178
9 0  //C179
5 8  //C180
7 6  //C181
9 3  //C182
6 8  //C183
0 9  //C184
6 6  //C185
5 3  //C186
4 7  //C187
2 7  //C188
9 8  //C189
3 0  //C190
5 4  //C191
2 0  //C192
1 5  //C193
3 6  //C194
8 9  //C195
0 7  //C196
6 6  //C197
3 4  //C198
8 3  //C199
