1 // server
2 // machine
50 // customer

 //p, q, a
6 6 0 //M0
2 6 0 //M1

 M0  M1 
8 1  //C0
0 1  //C1
2 3  //C2
4 5  //C3
5 6  //C4
6 8  //C5
9 4  //C6
7 3  //C7
6 4  //C8
0 1  //C9
6 1  //C10
5 0  //C11
4 8  //C12
5 1  //C13
0 9  //C14
0 4  //C15
9 4  //C16
3 5  //C17
1 9  //C18
9 1  //C19
2 3  //C20
8 4  //C21
8 9  //C22
9 2  //C23
2 1  //C24
8 1  //C25
5 0  //C26
8 6  //C27
6 0  //C28
7 3  //C29
8 2  //C30
4 6  //C31
5 2  //C32
9 5  //C33
0 2  //C34
1 6  //C35
5 9  //C36
9 3  //C37
3 0  //C38
1 4  //C39
8 2  //C40
9 8  //C41
0 8  //C42
9 8  //C43
5 7  //C44
8 1  //C45
2 5  //C46
2 9  //C47
8 2  //C48
9 6  //C49
