1 // server
2 // machine
200 // customer

 //p, q, a
5 2 0 //M0
3 6 0 //M1

 M0  M1 
4 0  //C0
0 8  //C1
1 7  //C2
9 6  //C3
1 4  //C4
3 7  //C5
8 1  //C6
6 0  //C7
9 2  //C8
1 6  //C9
8 6  //C10
8 1  //C11
1 0  //C12
1 4  //C13
6 0  //C14
6 2  //C15
9 6  //C16
1 7  //C17
9 9  //C18
3 5  //C19
5 3  //C20
4 5  //C21
6 3  //C22
3 8  //C23
6 5  //C24
9 2  //C25
9 7  //C26
7 7  //C27
1 9  //C28
6 1  //C29
6 4  //C30
0 0  //C31
8 1  //C32
7 1  //C33
9 8  //C34
1 9  //C35
9 5  //C36
0 4  //C37
2 2  //C38
4 7  //C39
6 2  //C40
8 0  //C41
1 4  //C42
3 2  //C43
9 4  //C44
6 0  //C45
2 1  //C46
9 0  //C47
3 4  //C48
7 5  //C49
5 1  //C50
8 8  //C51
3 9  //C52
2 3  //C53
6 3  //C54
5 8  //C55
5 9  //C56
4 3  //C57
6 9  //C58
8 4  //C59
7 5  //C60
2 5  //C61
1 1  //C62
6 7  //C63
6 9  //C64
0 7  //C65
5 8  //C66
1 4  //C67
4 0  //C68
6 1  //C69
1 9  //C70
5 5  //C71
8 8  //C72
5 3  //C73
7 6  //C74
4 4  //C75
5 3  //C76
7 0  //C77
9 2  //C78
6 2  //C79
2 4  //C80
7 7  //C81
2 7  //C82
2 6  //C83
7 9  //C84
8 6  //C85
2 7  //C86
2 8  //C87
9 6  //C88
7 3  //C89
6 3  //C90
0 0  //C91
4 6  //C92
2 2  //C93
0 1  //C94
5 2  //C95
3 4  //C96
9 7  //C97
2 8  //C98
3 1  //C99
5 8  //C100
5 7  //C101
8 7  //C102
1 8  //C103
0 9  //C104
0 2  //C105
4 2  //C106
5 9  //C107
3 7  //C108
2 6  //C109
4 0  //C110
6 6  //C111
4 5  //C112
2 8  //C113
7 5  //C114
5 1  //C115
3 5  //C116
8 8  //C117
7 3  //C118
1 7  //C119
4 4  //C120
1 0  //C121
0 2  //C122
7 1  //C123
8 9  //C124
3 5  //C125
5 6  //C126
6 4  //C127
2 9  //C128
2 2  //C129
5 2  //C130
0 5  //C131
4 8  //C132
9 9  //C133
4 7  //C134
1 0  //C135
5 5  //C136
1 9  //C137
8 5  //C138
5 1  //C139
7 1  //C140
0 8  //C141
2 0  //C142
6 6  //C143
9 3  //C144
5 8  //C145
0 8  //C146
2 1  //C147
4 6  //C148
6 2  //C149
3 8  //C150
6 0  //C151
8 2  //C152
0 9  //C153
4 6  //C154
6 6  //C155
3 1  //C156
5 3  //C157
2 2  //C158
3 4  //C159
2 2  //C160
9 1  //C161
1 2  //C162
9 6  //C163
3 0  //C164
5 2  //C165
9 3  //C166
7 8  //C167
5 9  //C168
9 9  //C169
9 6  //C170
1 2  //C171
7 9  //C172
5 9  //C173
3 8  //C174
8 2  //C175
2 2  //C176
9 0  //C177
9 5  //C178
8 5  //C179
2 3  //C180
6 4  //C181
1 3  //C182
7 9  //C183
3 7  //C184
8 2  //C185
2 4  //C186
4 5  //C187
0 6  //C188
4 2  //C189
7 0  //C190
2 4  //C191
1 3  //C192
9 7  //C193
3 6  //C194
9 9  //C195
1 3  //C196
6 5  //C197
9 7  //C198
1 3  //C199
