1 // server
3 // machine
100 // customer

 //p, q, a
2 6 0 //M0
4 5 0 //M1
4 3 0 //M2

 M0  M1  M2 
2 9 0  //C0
4 2 9  //C1
0 2 7  //C2
5 7 1  //C3
7 2 0  //C4
7 1 0  //C5
8 5 0  //C6
9 7 0  //C7
1 3 6  //C8
1 9 8  //C9
8 3 5  //C10
9 9 7  //C11
7 1 2  //C12
5 3 9  //C13
4 8 4  //C14
8 0 9  //C15
6 3 3  //C16
2 6 9  //C17
1 2 1  //C18
0 3 9  //C19
3 9 2  //C20
9 6 4  //C21
6 7 2  //C22
2 0 9  //C23
7 3 1  //C24
0 5 8  //C25
5 3 3  //C26
6 4 5  //C27
4 6 7  //C28
6 8 6  //C29
6 7 8  //C30
3 1 3  //C31
7 4 1  //C32
0 2 2  //C33
6 3 3  //C34
3 4 2  //C35
7 1 7  //C36
2 4 0  //C37
6 6 4  //C38
6 4 0  //C39
7 0 8  //C40
5 6 2  //C41
1 4 2  //C42
8 3 0  //C43
6 5 0  //C44
0 0 0  //C45
2 1 1  //C46
4 9 7  //C47
9 3 2  //C48
8 7 4  //C49
8 0 0  //C50
1 2 2  //C51
3 0 7  //C52
0 2 0  //C53
0 8 7  //C54
6 6 9  //C55
9 6 6  //C56
4 4 3  //C57
9 3 1  //C58
1 6 3  //C59
0 2 7  //C60
7 9 2  //C61
0 5 2  //C62
7 6 9  //C63
3 2 8  //C64
0 3 0  //C65
9 3 7  //C66
3 8 0  //C67
8 4 6  //C68
6 2 9  //C69
1 2 4  //C70
3 0 0  //C71
2 3 9  //C72
5 5 0  //C73
6 1 9  //C74
6 0 1  //C75
5 8 9  //C76
0 2 2  //C77
6 6 3  //C78
6 8 4  //C79
6 3 2  //C80
2 6 3  //C81
5 9 2  //C82
8 8 0  //C83
0 4 7  //C84
6 6 6  //C85
1 2 3  //C86
4 1 4  //C87
0 0 0  //C88
1 7 3  //C89
6 6 4  //C90
4 8 1  //C91
8 4 5  //C92
5 0 0  //C93
9 7 0  //C94
9 0 7  //C95
5 0 0  //C96
7 5 6  //C97
0 1 2  //C98
8 2 5  //C99
