1 // server
2 // machine
200 // customer

 //p, q, a
9 3 0 //M0
2 3 0 //M1

 M0  M1 
9 8  //C0
6 5  //C1
9 3  //C2
0 8  //C3
4 2  //C4
8 1  //C5
3 5  //C6
4 5  //C7
1 7  //C8
6 6  //C9
3 0  //C10
8 1  //C11
9 2  //C12
0 5  //C13
3 6  //C14
5 7  //C15
5 9  //C16
5 1  //C17
8 5  //C18
5 9  //C19
5 9  //C20
8 2  //C21
8 3  //C22
4 0  //C23
9 9  //C24
8 1  //C25
5 5  //C26
7 9  //C27
0 5  //C28
5 7  //C29
2 4  //C30
4 8  //C31
7 1  //C32
5 4  //C33
0 3  //C34
6 6  //C35
2 7  //C36
1 4  //C37
2 5  //C38
2 5  //C39
7 0  //C40
6 4  //C41
7 3  //C42
2 0  //C43
1 6  //C44
0 3  //C45
9 8  //C46
7 0  //C47
4 9  //C48
4 7  //C49
8 0  //C50
0 6  //C51
2 1  //C52
9 8  //C53
4 3  //C54
7 4  //C55
2 0  //C56
0 2  //C57
8 9  //C58
0 3  //C59
8 5  //C60
2 4  //C61
2 2  //C62
7 3  //C63
9 0  //C64
9 2  //C65
0 5  //C66
7 6  //C67
9 9  //C68
1 6  //C69
3 3  //C70
5 7  //C71
8 5  //C72
1 9  //C73
8 4  //C74
2 4  //C75
9 0  //C76
8 2  //C77
7 6  //C78
3 0  //C79
4 5  //C80
8 4  //C81
3 4  //C82
4 7  //C83
2 3  //C84
3 8  //C85
7 4  //C86
0 4  //C87
0 5  //C88
5 7  //C89
1 8  //C90
5 5  //C91
7 4  //C92
3 0  //C93
6 5  //C94
9 3  //C95
5 1  //C96
2 8  //C97
5 1  //C98
3 4  //C99
1 3  //C100
6 4  //C101
1 3  //C102
7 5  //C103
0 3  //C104
2 2  //C105
0 6  //C106
8 6  //C107
9 3  //C108
6 9  //C109
1 4  //C110
0 7  //C111
4 9  //C112
3 6  //C113
1 1  //C114
9 8  //C115
1 1  //C116
6 7  //C117
1 1  //C118
3 4  //C119
7 8  //C120
9 3  //C121
2 6  //C122
2 9  //C123
2 5  //C124
8 2  //C125
4 4  //C126
2 7  //C127
2 9  //C128
0 1  //C129
0 0  //C130
3 9  //C131
4 3  //C132
0 9  //C133
0 0  //C134
4 8  //C135
9 1  //C136
1 2  //C137
4 7  //C138
4 7  //C139
7 3  //C140
3 6  //C141
2 6  //C142
4 7  //C143
8 8  //C144
5 2  //C145
0 2  //C146
3 6  //C147
5 9  //C148
8 9  //C149
6 2  //C150
9 2  //C151
0 0  //C152
3 2  //C153
2 9  //C154
2 5  //C155
4 3  //C156
4 7  //C157
7 7  //C158
6 7  //C159
9 3  //C160
1 1  //C161
5 2  //C162
7 7  //C163
8 5  //C164
7 4  //C165
8 5  //C166
1 4  //C167
3 1  //C168
5 2  //C169
3 1  //C170
4 8  //C171
6 0  //C172
7 7  //C173
7 6  //C174
8 7  //C175
3 1  //C176
9 2  //C177
1 8  //C178
6 8  //C179
2 6  //C180
4 7  //C181
1 7  //C182
6 9  //C183
2 0  //C184
3 6  //C185
1 3  //C186
3 8  //C187
9 2  //C188
4 5  //C189
5 9  //C190
9 1  //C191
6 0  //C192
1 7  //C193
5 8  //C194
2 5  //C195
4 7  //C196
9 7  //C197
6 6  //C198
6 9  //C199
