1 // server
2 // machine
50 // customer

 //p, q, a
4 9 0 //M0
4 4 0 //M1

 M0  M1 
9 7  //C0
6 7  //C1
9 2  //C2
1 1  //C3
9 6  //C4
9 1  //C5
0 4  //C6
8 7  //C7
7 6  //C8
3 9  //C9
2 2  //C10
4 5  //C11
5 3  //C12
2 5  //C13
3 8  //C14
0 5  //C15
5 9  //C16
7 8  //C17
8 7  //C18
8 2  //C19
6 0  //C20
3 6  //C21
0 5  //C22
5 2  //C23
5 3  //C24
6 7  //C25
6 4  //C26
0 7  //C27
3 0  //C28
2 5  //C29
0 5  //C30
7 1  //C31
6 3  //C32
5 0  //C33
7 0  //C34
8 0  //C35
7 0  //C36
2 1  //C37
8 8  //C38
5 0  //C39
8 9  //C40
0 0  //C41
1 2  //C42
8 1  //C43
9 9  //C44
5 7  //C45
4 3  //C46
2 1  //C47
2 1  //C48
9 7  //C49
