1 // server
2 // machine
200 // customer

 //p, q, a
8 9 0 //M0
8 5 0 //M1

 M0  M1 
7 0  //C0
8 0  //C1
3 5  //C2
9 1  //C3
3 1  //C4
6 5  //C5
3 3  //C6
3 9  //C7
2 0  //C8
5 3  //C9
0 6  //C10
6 7  //C11
6 7  //C12
3 8  //C13
8 6  //C14
0 4  //C15
2 0  //C16
6 2  //C17
1 0  //C18
2 7  //C19
7 6  //C20
6 9  //C21
1 1  //C22
3 0  //C23
0 9  //C24
0 7  //C25
3 4  //C26
4 0  //C27
3 1  //C28
3 5  //C29
1 1  //C30
2 6  //C31
0 2  //C32
2 3  //C33
7 1  //C34
8 1  //C35
8 7  //C36
6 4  //C37
0 7  //C38
6 5  //C39
4 3  //C40
7 9  //C41
5 3  //C42
1 8  //C43
5 6  //C44
8 9  //C45
7 6  //C46
5 5  //C47
3 9  //C48
8 8  //C49
8 9  //C50
3 9  //C51
0 8  //C52
8 5  //C53
7 9  //C54
0 6  //C55
5 7  //C56
0 8  //C57
3 3  //C58
1 7  //C59
0 4  //C60
7 0  //C61
2 8  //C62
4 2  //C63
1 1  //C64
0 1  //C65
9 7  //C66
6 5  //C67
0 8  //C68
9 6  //C69
4 5  //C70
0 5  //C71
5 2  //C72
4 9  //C73
6 7  //C74
1 0  //C75
7 0  //C76
8 4  //C77
2 2  //C78
6 2  //C79
4 6  //C80
3 6  //C81
9 9  //C82
7 7  //C83
1 5  //C84
8 5  //C85
3 4  //C86
3 4  //C87
3 1  //C88
5 0  //C89
3 4  //C90
6 4  //C91
9 9  //C92
3 8  //C93
9 1  //C94
2 8  //C95
1 6  //C96
2 8  //C97
2 3  //C98
6 6  //C99
4 7  //C100
8 0  //C101
8 6  //C102
6 3  //C103
7 3  //C104
1 0  //C105
7 5  //C106
8 9  //C107
0 9  //C108
7 0  //C109
6 8  //C110
8 9  //C111
2 0  //C112
4 7  //C113
2 4  //C114
2 9  //C115
5 8  //C116
5 6  //C117
6 5  //C118
5 3  //C119
2 0  //C120
1 6  //C121
0 2  //C122
1 6  //C123
8 2  //C124
8 3  //C125
6 5  //C126
0 6  //C127
9 9  //C128
7 8  //C129
2 9  //C130
0 2  //C131
0 1  //C132
5 8  //C133
9 2  //C134
3 4  //C135
3 3  //C136
7 6  //C137
7 1  //C138
8 0  //C139
9 7  //C140
8 9  //C141
6 9  //C142
2 9  //C143
8 9  //C144
7 6  //C145
7 7  //C146
1 2  //C147
9 8  //C148
5 8  //C149
7 2  //C150
6 6  //C151
9 3  //C152
9 2  //C153
7 3  //C154
9 7  //C155
0 7  //C156
9 4  //C157
1 1  //C158
5 1  //C159
8 5  //C160
9 0  //C161
5 6  //C162
6 6  //C163
2 5  //C164
7 8  //C165
6 9  //C166
2 6  //C167
1 2  //C168
9 3  //C169
9 0  //C170
1 4  //C171
0 9  //C172
5 0  //C173
8 7  //C174
1 7  //C175
2 4  //C176
9 1  //C177
3 6  //C178
0 3  //C179
6 3  //C180
0 2  //C181
6 0  //C182
1 1  //C183
4 2  //C184
2 8  //C185
1 2  //C186
1 8  //C187
3 4  //C188
9 5  //C189
0 6  //C190
7 5  //C191
3 9  //C192
5 1  //C193
9 1  //C194
3 4  //C195
1 6  //C196
6 5  //C197
0 9  //C198
7 9  //C199
