1 // server
2 // machine
50 // customer

 //p, q, a
6 9 0 //M0
5 7 0 //M1

 M0  M1 
5 0  //C0
9 1  //C1
9 6  //C2
4 6  //C3
7 2  //C4
7 6  //C5
5 4  //C6
1 5  //C7
0 7  //C8
2 7  //C9
0 3  //C10
8 6  //C11
0 7  //C12
0 3  //C13
2 2  //C14
0 4  //C15
7 9  //C16
6 4  //C17
6 9  //C18
7 8  //C19
8 8  //C20
9 1  //C21
1 3  //C22
3 9  //C23
3 5  //C24
4 8  //C25
6 8  //C26
6 2  //C27
2 3  //C28
1 2  //C29
6 1  //C30
3 5  //C31
2 3  //C32
8 6  //C33
7 7  //C34
9 1  //C35
9 4  //C36
8 1  //C37
3 6  //C38
4 6  //C39
4 0  //C40
0 7  //C41
7 1  //C42
7 9  //C43
3 4  //C44
1 2  //C45
7 5  //C46
2 6  //C47
5 4  //C48
8 8  //C49
