1 // server
3 // machine
100 // customer

 //p, q, a
8 7 0 //M0
5 9 0 //M1
2 5 0 //M2

 M0  M1  M2 
6 2 3  //C0
3 5 7  //C1
1 3 9  //C2
3 7 1  //C3
6 6 4  //C4
2 9 6  //C5
1 6 3  //C6
8 9 5  //C7
4 1 4  //C8
4 8 3  //C9
2 7 1  //C10
4 3 7  //C11
7 1 7  //C12
6 5 4  //C13
1 1 8  //C14
5 8 5  //C15
7 5 7  //C16
8 8 4  //C17
9 7 2  //C18
8 9 4  //C19
2 7 4  //C20
6 1 0  //C21
9 2 3  //C22
7 5 8  //C23
9 5 1  //C24
9 7 7  //C25
6 8 3  //C26
9 6 2  //C27
6 4 9  //C28
6 4 5  //C29
4 8 2  //C30
3 3 8  //C31
9 5 9  //C32
8 5 6  //C33
2 0 0  //C34
9 9 3  //C35
3 0 0  //C36
4 2 0  //C37
1 3 0  //C38
2 9 7  //C39
0 3 7  //C40
7 2 6  //C41
5 6 1  //C42
2 9 2  //C43
8 7 2  //C44
6 7 6  //C45
2 6 4  //C46
5 3 4  //C47
5 9 6  //C48
1 1 0  //C49
8 7 5  //C50
2 7 2  //C51
9 4 7  //C52
4 3 3  //C53
1 1 1  //C54
8 6 4  //C55
7 4 5  //C56
4 9 3  //C57
2 5 0  //C58
3 2 2  //C59
9 4 4  //C60
1 4 1  //C61
6 5 9  //C62
9 7 2  //C63
8 7 3  //C64
1 4 1  //C65
2 6 3  //C66
1 3 7  //C67
4 4 7  //C68
2 9 2  //C69
2 6 2  //C70
5 4 9  //C71
8 0 6  //C72
0 1 0  //C73
5 7 7  //C74
2 5 2  //C75
9 0 1  //C76
8 0 5  //C77
9 8 0  //C78
7 6 0  //C79
3 4 6  //C80
6 7 1  //C81
9 3 3  //C82
3 2 4  //C83
4 2 5  //C84
2 6 5  //C85
0 2 8  //C86
5 2 8  //C87
1 4 5  //C88
7 5 5  //C89
9 1 3  //C90
6 6 6  //C91
4 8 0  //C92
5 2 2  //C93
8 6 7  //C94
7 3 7  //C95
0 6 2  //C96
4 6 4  //C97
1 7 2  //C98
7 5 2  //C99
