1 // server
2 // machine
50 // customer

 //p, q, a
9 5 0 //M0
5 5 0 //M1

 M0  M1 
4 6  //C0
9 6  //C1
1 8  //C2
8 4  //C3
5 2  //C4
6 0  //C5
4 6  //C6
0 3  //C7
4 4  //C8
1 7  //C9
4 0  //C10
6 4  //C11
7 0  //C12
9 7  //C13
8 8  //C14
0 4  //C15
4 5  //C16
6 5  //C17
2 2  //C18
9 0  //C19
0 0  //C20
2 2  //C21
7 1  //C22
7 5  //C23
1 6  //C24
2 4  //C25
3 7  //C26
0 3  //C27
0 5  //C28
8 0  //C29
9 1  //C30
6 7  //C31
1 1  //C32
5 8  //C33
0 5  //C34
0 1  //C35
4 1  //C36
7 3  //C37
8 3  //C38
7 6  //C39
3 3  //C40
5 2  //C41
5 6  //C42
1 7  //C43
5 3  //C44
4 7  //C45
3 8  //C46
0 9  //C47
3 5  //C48
0 5  //C49
