1 // server
3 // machine
50 // customer

 //p, q, a
4 6 0 //M0
8 4 0 //M1
3 3 0 //M2

 M0  M1  M2 
6 2 5  //C0
9 2 4  //C1
2 3 2  //C2
0 9 3  //C3
9 6 0  //C4
2 0 1  //C5
5 7 2  //C6
7 0 5  //C7
0 1 3  //C8
3 9 5  //C9
2 2 6  //C10
8 8 5  //C11
2 7 1  //C12
7 3 0  //C13
5 5 5  //C14
7 5 4  //C15
9 1 5  //C16
7 7 5  //C17
0 8 1  //C18
0 9 1  //C19
0 9 3  //C20
6 8 7  //C21
6 0 7  //C22
5 0 2  //C23
9 8 3  //C24
1 2 5  //C25
0 2 6  //C26
9 3 8  //C27
0 5 5  //C28
0 8 9  //C29
3 2 8  //C30
0 7 4  //C31
6 8 7  //C32
8 0 4  //C33
7 4 0  //C34
2 8 8  //C35
1 8 6  //C36
6 0 6  //C37
4 1 5  //C38
5 6 2  //C39
1 5 2  //C40
7 2 8  //C41
4 8 1  //C42
9 5 3  //C43
7 2 2  //C44
2 1 9  //C45
7 8 6  //C46
6 9 0  //C47
2 6 1  //C48
1 6 5  //C49
