1 // server
2 // machine
50 // customer

 //p, q, a
3 2 0 //M0
6 8 0 //M1

 M0  M1 
9 3  //C0
2 4  //C1
9 4  //C2
1 2  //C3
6 9  //C4
6 9  //C5
5 6  //C6
2 9  //C7
2 0  //C8
1 7  //C9
6 8  //C10
7 0  //C11
2 4  //C12
2 8  //C13
1 1  //C14
7 4  //C15
5 6  //C16
8 8  //C17
4 4  //C18
4 9  //C19
8 8  //C20
8 2  //C21
7 8  //C22
8 2  //C23
6 4  //C24
5 2  //C25
9 8  //C26
1 0  //C27
6 2  //C28
1 4  //C29
2 2  //C30
1 4  //C31
2 2  //C32
3 8  //C33
7 4  //C34
4 7  //C35
5 1  //C36
9 8  //C37
9 4  //C38
2 4  //C39
5 0  //C40
2 6  //C41
6 5  //C42
4 7  //C43
5 8  //C44
2 2  //C45
3 9  //C46
6 5  //C47
6 3  //C48
0 4  //C49
