1 // server
2 // machine
200 // customer

 //p, q, a
2 9 0 //M0
8 2 0 //M1

 M0  M1 
3 6  //C0
2 5  //C1
4 7  //C2
4 2  //C3
4 8  //C4
9 2  //C5
1 3  //C6
9 6  //C7
9 3  //C8
6 8  //C9
8 7  //C10
5 4  //C11
5 4  //C12
8 2  //C13
9 9  //C14
0 0  //C15
1 1  //C16
1 4  //C17
2 7  //C18
0 2  //C19
9 4  //C20
9 8  //C21
5 3  //C22
2 6  //C23
1 7  //C24
0 8  //C25
2 9  //C26
2 5  //C27
1 8  //C28
0 0  //C29
8 2  //C30
2 5  //C31
7 8  //C32
0 9  //C33
1 4  //C34
3 1  //C35
2 4  //C36
8 3  //C37
8 6  //C38
8 2  //C39
2 2  //C40
0 1  //C41
8 1  //C42
8 2  //C43
9 5  //C44
3 4  //C45
7 0  //C46
3 7  //C47
2 4  //C48
0 7  //C49
2 2  //C50
5 6  //C51
4 8  //C52
6 8  //C53
0 8  //C54
7 5  //C55
9 8  //C56
7 6  //C57
1 1  //C58
6 6  //C59
0 8  //C60
9 5  //C61
1 9  //C62
4 1  //C63
0 1  //C64
1 3  //C65
5 1  //C66
9 9  //C67
6 3  //C68
7 0  //C69
5 9  //C70
1 1  //C71
7 7  //C72
4 9  //C73
3 7  //C74
6 1  //C75
7 4  //C76
7 4  //C77
3 9  //C78
5 4  //C79
4 5  //C80
8 9  //C81
7 4  //C82
0 8  //C83
8 7  //C84
9 7  //C85
3 6  //C86
1 0  //C87
6 8  //C88
7 4  //C89
4 5  //C90
7 3  //C91
4 0  //C92
6 0  //C93
4 5  //C94
6 7  //C95
8 2  //C96
6 9  //C97
1 2  //C98
3 3  //C99
7 6  //C100
0 5  //C101
7 8  //C102
7 1  //C103
3 6  //C104
7 5  //C105
1 0  //C106
0 8  //C107
7 4  //C108
4 7  //C109
8 9  //C110
4 2  //C111
1 2  //C112
8 1  //C113
9 1  //C114
8 4  //C115
4 4  //C116
7 8  //C117
4 2  //C118
6 6  //C119
2 4  //C120
6 7  //C121
8 0  //C122
5 7  //C123
2 7  //C124
2 6  //C125
7 6  //C126
5 7  //C127
1 7  //C128
4 4  //C129
0 5  //C130
2 2  //C131
7 3  //C132
1 7  //C133
3 1  //C134
3 5  //C135
8 8  //C136
4 3  //C137
2 7  //C138
4 1  //C139
7 0  //C140
8 2  //C141
8 1  //C142
6 8  //C143
8 9  //C144
7 6  //C145
7 1  //C146
6 6  //C147
2 4  //C148
9 4  //C149
9 8  //C150
4 1  //C151
3 7  //C152
8 9  //C153
1 1  //C154
4 4  //C155
3 3  //C156
7 9  //C157
7 0  //C158
3 5  //C159
7 3  //C160
9 3  //C161
4 6  //C162
7 6  //C163
2 7  //C164
1 8  //C165
7 9  //C166
1 9  //C167
6 7  //C168
8 1  //C169
3 6  //C170
6 6  //C171
4 2  //C172
3 4  //C173
4 6  //C174
9 2  //C175
0 3  //C176
7 6  //C177
8 0  //C178
6 7  //C179
0 1  //C180
7 4  //C181
0 6  //C182
7 3  //C183
1 8  //C184
2 9  //C185
1 2  //C186
2 0  //C187
6 2  //C188
9 1  //C189
3 2  //C190
2 5  //C191
7 9  //C192
7 4  //C193
2 5  //C194
0 6  //C195
0 0  //C196
1 2  //C197
9 2  //C198
6 8  //C199
