1 // server
2 // machine
100 // customer

 //p, q, a
2 7 0 //M0
3 9 0 //M1

 M0  M1 
7 7  //C0
1 4  //C1
1 9  //C2
9 3  //C3
4 1  //C4
2 1  //C5
3 1  //C6
0 2  //C7
9 2  //C8
1 1  //C9
6 9  //C10
4 4  //C11
2 1  //C12
8 7  //C13
7 4  //C14
2 1  //C15
0 6  //C16
8 9  //C17
4 9  //C18
2 4  //C19
5 5  //C20
9 5  //C21
6 6  //C22
3 8  //C23
2 5  //C24
6 9  //C25
5 1  //C26
3 7  //C27
2 7  //C28
2 9  //C29
1 1  //C30
5 9  //C31
8 0  //C32
0 6  //C33
2 0  //C34
7 9  //C35
9 6  //C36
5 0  //C37
0 9  //C38
8 5  //C39
7 9  //C40
5 2  //C41
8 3  //C42
6 9  //C43
3 1  //C44
6 7  //C45
7 2  //C46
3 4  //C47
0 0  //C48
6 5  //C49
5 6  //C50
6 1  //C51
7 7  //C52
9 8  //C53
5 2  //C54
7 3  //C55
9 6  //C56
1 1  //C57
6 3  //C58
1 5  //C59
3 1  //C60
3 0  //C61
4 0  //C62
2 7  //C63
2 1  //C64
0 9  //C65
3 2  //C66
0 0  //C67
3 3  //C68
4 0  //C69
3 8  //C70
3 0  //C71
4 2  //C72
8 0  //C73
0 2  //C74
7 7  //C75
8 1  //C76
2 4  //C77
3 5  //C78
6 7  //C79
5 1  //C80
5 3  //C81
2 7  //C82
0 6  //C83
6 0  //C84
8 3  //C85
8 0  //C86
1 4  //C87
7 2  //C88
6 1  //C89
2 1  //C90
7 0  //C91
4 3  //C92
0 2  //C93
9 5  //C94
7 7  //C95
6 6  //C96
5 2  //C97
2 9  //C98
8 6  //C99
