1 // server
2 // machine
100 // customer

 //p, q, a
4 7 0 //M0
1 7 0 //M1

 M0  M1 
1 7  //C0
0 6  //C1
0 7  //C2
7 5  //C3
9 8  //C4
3 8  //C5
3 5  //C6
7 7  //C7
3 2  //C8
8 3  //C9
1 3  //C10
0 9  //C11
2 5  //C12
7 8  //C13
4 6  //C14
1 2  //C15
8 2  //C16
1 1  //C17
3 6  //C18
2 5  //C19
8 6  //C20
8 2  //C21
8 8  //C22
4 1  //C23
1 4  //C24
5 1  //C25
8 6  //C26
5 7  //C27
6 1  //C28
4 4  //C29
9 8  //C30
0 2  //C31
6 1  //C32
0 1  //C33
4 5  //C34
3 6  //C35
9 2  //C36
5 5  //C37
4 8  //C38
1 3  //C39
1 6  //C40
6 9  //C41
1 9  //C42
3 1  //C43
7 3  //C44
4 2  //C45
2 8  //C46
5 0  //C47
5 5  //C48
5 6  //C49
8 3  //C50
6 5  //C51
1 9  //C52
2 5  //C53
1 9  //C54
3 8  //C55
0 1  //C56
3 3  //C57
1 1  //C58
1 6  //C59
7 9  //C60
3 1  //C61
0 0  //C62
4 1  //C63
7 4  //C64
0 8  //C65
2 4  //C66
4 8  //C67
9 1  //C68
8 2  //C69
7 8  //C70
9 7  //C71
0 6  //C72
2 0  //C73
4 1  //C74
8 4  //C75
4 9  //C76
9 9  //C77
9 5  //C78
5 0  //C79
4 0  //C80
7 6  //C81
9 4  //C82
5 6  //C83
7 5  //C84
4 0  //C85
2 9  //C86
8 9  //C87
9 6  //C88
0 3  //C89
8 3  //C90
6 6  //C91
6 6  //C92
4 3  //C93
4 5  //C94
8 4  //C95
6 8  //C96
7 7  //C97
0 2  //C98
8 6  //C99
