1 // server
2 // machine
100 // customer

 //p, q, a
3 2 0 //M0
4 9 0 //M1

 M0  M1 
4 4  //C0
8 8  //C1
9 7  //C2
6 0  //C3
8 4  //C4
5 3  //C5
4 4  //C6
9 9  //C7
7 8  //C8
7 1  //C9
3 0  //C10
6 1  //C11
5 9  //C12
1 7  //C13
4 9  //C14
9 0  //C15
8 7  //C16
6 0  //C17
4 2  //C18
2 1  //C19
8 6  //C20
8 2  //C21
1 1  //C22
7 8  //C23
0 8  //C24
9 4  //C25
3 2  //C26
5 4  //C27
8 6  //C28
2 0  //C29
6 9  //C30
6 9  //C31
5 4  //C32
4 7  //C33
8 8  //C34
4 4  //C35
5 5  //C36
2 7  //C37
1 4  //C38
0 3  //C39
2 3  //C40
6 5  //C41
9 4  //C42
7 6  //C43
1 2  //C44
2 8  //C45
0 2  //C46
5 9  //C47
0 9  //C48
6 7  //C49
7 0  //C50
0 2  //C51
3 5  //C52
8 7  //C53
9 8  //C54
3 3  //C55
6 8  //C56
8 2  //C57
2 0  //C58
9 0  //C59
7 8  //C60
5 5  //C61
6 6  //C62
4 3  //C63
0 2  //C64
7 1  //C65
7 2  //C66
6 1  //C67
3 4  //C68
1 4  //C69
6 9  //C70
6 2  //C71
9 8  //C72
1 1  //C73
4 2  //C74
6 9  //C75
0 5  //C76
0 9  //C77
4 4  //C78
6 7  //C79
0 5  //C80
7 6  //C81
1 1  //C82
6 3  //C83
2 6  //C84
8 8  //C85
8 4  //C86
4 7  //C87
1 3  //C88
6 7  //C89
5 2  //C90
8 7  //C91
6 7  //C92
1 2  //C93
2 7  //C94
7 9  //C95
8 4  //C96
3 0  //C97
2 9  //C98
0 7  //C99
