1 // server
2 // machine
50 // customer

 //p, q, a
9 3 0 //M0
8 2 0 //M1

 M0  M1 
7 1  //C0
4 9  //C1
8 7  //C2
4 4  //C3
5 8  //C4
7 1  //C5
4 9  //C6
7 4  //C7
5 6  //C8
5 4  //C9
9 3  //C10
9 0  //C11
5 6  //C12
9 0  //C13
6 8  //C14
6 0  //C15
6 3  //C16
0 3  //C17
2 4  //C18
4 5  //C19
1 5  //C20
6 3  //C21
5 9  //C22
7 0  //C23
0 3  //C24
8 2  //C25
6 3  //C26
1 4  //C27
1 4  //C28
4 2  //C29
7 3  //C30
8 7  //C31
1 6  //C32
4 0  //C33
9 3  //C34
1 1  //C35
1 9  //C36
3 4  //C37
7 6  //C38
4 6  //C39
8 8  //C40
9 2  //C41
9 4  //C42
3 2  //C43
2 5  //C44
1 8  //C45
0 2  //C46
7 7  //C47
6 8  //C48
1 8  //C49
