1 // server
2 // machine
100 // customer

 //p, q, a
9 3 0 //M0
4 5 0 //M1

 M0  M1 
1 4  //C0
5 3  //C1
6 8  //C2
4 9  //C3
5 2  //C4
7 1  //C5
4 8  //C6
4 1  //C7
5 6  //C8
9 9  //C9
1 9  //C10
8 2  //C11
7 8  //C12
7 5  //C13
1 9  //C14
7 1  //C15
1 8  //C16
8 7  //C17
5 0  //C18
4 3  //C19
1 2  //C20
1 5  //C21
7 0  //C22
1 6  //C23
2 9  //C24
8 3  //C25
2 3  //C26
1 1  //C27
6 3  //C28
6 8  //C29
1 8  //C30
7 5  //C31
4 5  //C32
9 6  //C33
0 6  //C34
5 5  //C35
2 6  //C36
8 9  //C37
7 3  //C38
5 6  //C39
6 0  //C40
3 2  //C41
1 4  //C42
9 7  //C43
6 6  //C44
1 2  //C45
3 5  //C46
1 2  //C47
4 6  //C48
1 1  //C49
0 5  //C50
6 5  //C51
3 3  //C52
0 5  //C53
5 2  //C54
3 3  //C55
7 0  //C56
1 1  //C57
5 4  //C58
4 9  //C59
5 1  //C60
9 3  //C61
5 3  //C62
1 7  //C63
5 5  //C64
4 1  //C65
1 3  //C66
5 1  //C67
3 8  //C68
9 7  //C69
4 4  //C70
2 3  //C71
2 8  //C72
4 3  //C73
4 0  //C74
7 0  //C75
1 1  //C76
5 8  //C77
5 3  //C78
9 9  //C79
2 3  //C80
0 9  //C81
7 1  //C82
1 3  //C83
5 9  //C84
7 7  //C85
5 7  //C86
4 1  //C87
9 5  //C88
0 7  //C89
8 8  //C90
3 4  //C91
8 4  //C92
0 0  //C93
8 6  //C94
6 9  //C95
8 9  //C96
5 1  //C97
4 2  //C98
6 0  //C99
