1 // server
2 // machine
200 // customer

 //p, q, a
1 4 0 //M0
9 4 0 //M1

 M0  M1 
8 8  //C0
6 3  //C1
7 6  //C2
2 5  //C3
1 6  //C4
6 3  //C5
9 2  //C6
4 7  //C7
7 2  //C8
5 3  //C9
6 5  //C10
6 7  //C11
7 6  //C12
4 0  //C13
7 9  //C14
9 4  //C15
4 6  //C16
8 9  //C17
0 4  //C18
0 3  //C19
9 5  //C20
9 2  //C21
3 9  //C22
9 2  //C23
1 8  //C24
4 8  //C25
7 5  //C26
6 2  //C27
1 9  //C28
5 1  //C29
1 2  //C30
7 1  //C31
7 2  //C32
9 2  //C33
4 5  //C34
7 3  //C35
2 1  //C36
3 0  //C37
5 3  //C38
3 7  //C39
6 2  //C40
8 8  //C41
5 1  //C42
6 8  //C43
0 5  //C44
7 1  //C45
8 8  //C46
2 7  //C47
7 7  //C48
5 1  //C49
9 7  //C50
8 6  //C51
1 0  //C52
5 6  //C53
1 5  //C54
7 7  //C55
5 8  //C56
4 8  //C57
3 9  //C58
5 6  //C59
6 1  //C60
2 8  //C61
7 5  //C62
4 3  //C63
9 6  //C64
3 8  //C65
8 2  //C66
7 9  //C67
4 2  //C68
6 4  //C69
5 9  //C70
6 4  //C71
8 9  //C72
5 0  //C73
4 3  //C74
4 8  //C75
1 9  //C76
5 8  //C77
5 9  //C78
8 6  //C79
6 1  //C80
7 5  //C81
2 8  //C82
9 3  //C83
0 4  //C84
4 0  //C85
2 1  //C86
0 6  //C87
4 7  //C88
0 7  //C89
9 4  //C90
9 6  //C91
1 4  //C92
6 9  //C93
7 9  //C94
4 4  //C95
4 0  //C96
8 4  //C97
2 0  //C98
1 9  //C99
0 2  //C100
0 9  //C101
8 4  //C102
5 0  //C103
8 8  //C104
4 7  //C105
8 0  //C106
6 1  //C107
2 0  //C108
4 7  //C109
2 9  //C110
6 0  //C111
0 9  //C112
5 2  //C113
2 6  //C114
3 3  //C115
6 1  //C116
6 7  //C117
4 0  //C118
7 7  //C119
9 5  //C120
0 8  //C121
4 7  //C122
6 3  //C123
4 7  //C124
2 1  //C125
6 3  //C126
6 1  //C127
6 9  //C128
9 8  //C129
8 2  //C130
8 2  //C131
5 0  //C132
0 7  //C133
4 8  //C134
7 1  //C135
3 7  //C136
8 6  //C137
8 8  //C138
6 2  //C139
3 2  //C140
7 5  //C141
4 1  //C142
6 3  //C143
4 5  //C144
1 5  //C145
0 8  //C146
8 6  //C147
7 8  //C148
3 3  //C149
7 9  //C150
9 5  //C151
0 0  //C152
8 9  //C153
5 9  //C154
2 8  //C155
2 7  //C156
5 5  //C157
5 3  //C158
8 3  //C159
3 7  //C160
2 8  //C161
7 1  //C162
1 4  //C163
8 1  //C164
9 0  //C165
4 2  //C166
5 4  //C167
3 2  //C168
5 3  //C169
2 7  //C170
7 4  //C171
2 2  //C172
2 3  //C173
3 2  //C174
1 4  //C175
9 9  //C176
9 9  //C177
6 0  //C178
7 8  //C179
8 4  //C180
1 3  //C181
0 2  //C182
3 0  //C183
1 1  //C184
2 2  //C185
7 4  //C186
0 6  //C187
9 8  //C188
6 4  //C189
9 7  //C190
1 5  //C191
9 5  //C192
0 5  //C193
3 5  //C194
7 2  //C195
4 6  //C196
5 8  //C197
6 3  //C198
4 0  //C199
