1 // server
2 // machine
100 // customer

 //p, q, a
3 9 0 //M0
9 5 0 //M1

 M0  M1 
2 4  //C0
1 8  //C1
6 8  //C2
5 4  //C3
9 0  //C4
6 9  //C5
2 7  //C6
7 2  //C7
4 4  //C8
0 6  //C9
1 4  //C10
0 0  //C11
1 2  //C12
0 9  //C13
2 5  //C14
6 8  //C15
4 4  //C16
5 5  //C17
0 1  //C18
3 0  //C19
4 3  //C20
7 4  //C21
5 4  //C22
5 5  //C23
3 7  //C24
9 7  //C25
9 2  //C26
2 7  //C27
3 0  //C28
7 4  //C29
8 5  //C30
2 4  //C31
4 8  //C32
5 7  //C33
1 1  //C34
1 2  //C35
1 9  //C36
2 8  //C37
6 5  //C38
5 7  //C39
6 4  //C40
5 4  //C41
5 9  //C42
9 1  //C43
2 7  //C44
1 9  //C45
4 9  //C46
2 8  //C47
0 3  //C48
0 7  //C49
8 8  //C50
4 1  //C51
5 7  //C52
6 9  //C53
9 3  //C54
0 7  //C55
5 9  //C56
7 4  //C57
9 7  //C58
9 5  //C59
9 3  //C60
5 4  //C61
0 2  //C62
7 1  //C63
6 4  //C64
7 3  //C65
4 8  //C66
8 8  //C67
0 4  //C68
9 7  //C69
2 9  //C70
2 8  //C71
6 3  //C72
3 4  //C73
2 8  //C74
8 3  //C75
3 5  //C76
7 5  //C77
3 9  //C78
1 3  //C79
9 4  //C80
3 5  //C81
6 7  //C82
2 7  //C83
1 8  //C84
3 5  //C85
8 1  //C86
2 0  //C87
0 6  //C88
7 6  //C89
8 2  //C90
9 8  //C91
5 4  //C92
0 9  //C93
0 2  //C94
5 0  //C95
2 5  //C96
8 7  //C97
5 6  //C98
2 9  //C99
