1 // server
2 // machine
100 // customer

 //p, q, a
3 8 0 //M0
9 8 0 //M1

 M0  M1 
4 8  //C0
0 5  //C1
1 2  //C2
7 1  //C3
8 8  //C4
2 8  //C5
6 9  //C6
0 4  //C7
0 4  //C8
0 5  //C9
8 9  //C10
9 3  //C11
0 3  //C12
5 1  //C13
2 8  //C14
5 6  //C15
3 0  //C16
3 7  //C17
6 5  //C18
1 9  //C19
9 6  //C20
1 0  //C21
2 5  //C22
3 2  //C23
9 6  //C24
7 8  //C25
7 3  //C26
9 4  //C27
9 6  //C28
5 7  //C29
7 5  //C30
9 9  //C31
3 5  //C32
4 6  //C33
6 3  //C34
7 5  //C35
3 1  //C36
5 2  //C37
8 9  //C38
1 5  //C39
0 3  //C40
2 5  //C41
1 7  //C42
9 0  //C43
0 9  //C44
7 9  //C45
0 3  //C46
2 3  //C47
7 1  //C48
7 7  //C49
1 7  //C50
6 5  //C51
9 1  //C52
5 6  //C53
7 7  //C54
5 0  //C55
5 0  //C56
6 4  //C57
3 3  //C58
8 6  //C59
5 4  //C60
5 6  //C61
5 7  //C62
5 9  //C63
8 2  //C64
4 6  //C65
2 3  //C66
3 3  //C67
6 7  //C68
6 9  //C69
1 3  //C70
2 3  //C71
3 7  //C72
3 0  //C73
7 8  //C74
0 3  //C75
3 1  //C76
1 7  //C77
1 9  //C78
9 1  //C79
6 6  //C80
7 5  //C81
2 9  //C82
7 2  //C83
6 3  //C84
7 5  //C85
7 9  //C86
4 2  //C87
2 2  //C88
3 7  //C89
3 5  //C90
1 9  //C91
1 1  //C92
3 1  //C93
2 6  //C94
1 7  //C95
7 4  //C96
2 5  //C97
5 6  //C98
0 4  //C99
