1 // server
3 // machine
50 // customer

 //p, q, a
8 2 0 //M0
9 4 0 //M1
8 3 0 //M2

 M0  M1  M2 
4 2 3  //C0
3 4 5  //C1
5 9 3  //C2
2 1 7  //C3
1 5 5  //C4
1 3 1  //C5
0 0 6  //C6
9 8 3  //C7
3 3 7  //C8
3 9 7  //C9
5 9 4  //C10
5 8 4  //C11
9 1 4  //C12
5 6 8  //C13
2 7 2  //C14
4 6 5  //C15
7 7 6  //C16
7 3 8  //C17
5 5 4  //C18
0 9 1  //C19
7 2 0  //C20
6 7 1  //C21
2 6 6  //C22
0 1 1  //C23
7 4 3  //C24
7 6 1  //C25
1 8 6  //C26
1 5 2  //C27
1 7 6  //C28
6 9 3  //C29
0 9 1  //C30
2 7 4  //C31
8 6 9  //C32
0 1 9  //C33
9 7 5  //C34
4 0 8  //C35
4 8 8  //C36
2 9 1  //C37
4 6 7  //C38
8 4 0  //C39
4 5 6  //C40
3 0 2  //C41
0 4 6  //C42
9 8 0  //C43
1 0 7  //C44
7 2 7  //C45
6 6 6  //C46
7 1 1  //C47
4 7 9  //C48
0 7 1  //C49
