1 // server
3 // machine
50 // customer

 //p, q, a
6 7 0 //M0
3 6 0 //M1
8 6 0 //M2

 M0  M1  M2 
1 7 1  //C0
7 8 7  //C1
2 2 9  //C2
2 2 0  //C3
8 5 1  //C4
5 9 7  //C5
2 5 1  //C6
6 7 7  //C7
2 3 5  //C8
9 8 6  //C9
0 7 9  //C10
2 6 2  //C11
4 0 3  //C12
1 2 5  //C13
6 9 9  //C14
9 0 8  //C15
8 1 7  //C16
4 3 2  //C17
3 4 0  //C18
4 5 4  //C19
1 2 4  //C20
2 1 4  //C21
0 6 8  //C22
8 0 9  //C23
4 0 2  //C24
5 0 8  //C25
7 3 3  //C26
7 0 7  //C27
8 5 4  //C28
6 8 2  //C29
1 0 4  //C30
8 9 0  //C31
1 3 7  //C32
4 8 3  //C33
9 0 0  //C34
8 0 2  //C35
0 7 4  //C36
2 6 2  //C37
1 4 1  //C38
7 3 6  //C39
0 4 7  //C40
6 7 9  //C41
4 5 1  //C42
2 4 6  //C43
0 2 4  //C44
9 8 0  //C45
6 0 5  //C46
1 6 0  //C47
7 9 4  //C48
2 7 5  //C49
