1 // server
3 // machine
50 // customer

 //p, q, a
3 2 0 //M0
2 9 0 //M1
4 3 0 //M2

 M0  M1  M2 
7 7 0  //C0
1 9 0  //C1
8 8 1  //C2
6 1 1  //C3
6 2 3  //C4
7 2 5  //C5
9 8 3  //C6
9 5 1  //C7
2 2 3  //C8
2 3 2  //C9
7 3 5  //C10
9 6 2  //C11
2 2 8  //C12
5 0 8  //C13
3 9 4  //C14
4 7 5  //C15
7 5 8  //C16
6 0 4  //C17
8 7 1  //C18
9 8 6  //C19
6 5 5  //C20
9 8 7  //C21
6 6 5  //C22
1 4 9  //C23
6 3 8  //C24
4 5 6  //C25
6 8 5  //C26
7 4 7  //C27
3 1 3  //C28
0 1 8  //C29
0 3 3  //C30
1 9 4  //C31
3 4 0  //C32
7 8 0  //C33
9 6 0  //C34
8 9 6  //C35
6 3 2  //C36
5 2 9  //C37
0 8 1  //C38
7 5 7  //C39
4 5 4  //C40
7 0 1  //C41
5 4 4  //C42
3 1 1  //C43
5 9 0  //C44
4 7 8  //C45
7 4 1  //C46
6 3 7  //C47
6 5 0  //C48
4 0 0  //C49
