1 // server
2 // machine
50 // customer

 //p, q, a
1 8 0 //M0
6 4 0 //M1

 M0  M1 
1 3  //C0
5 8  //C1
0 8  //C2
3 8  //C3
9 5  //C4
9 1  //C5
6 8  //C6
9 6  //C7
6 3  //C8
2 9  //C9
6 8  //C10
4 6  //C11
4 1  //C12
3 4  //C13
0 7  //C14
3 9  //C15
0 9  //C16
8 9  //C17
1 5  //C18
1 6  //C19
0 7  //C20
9 9  //C21
3 9  //C22
9 8  //C23
0 3  //C24
2 6  //C25
5 7  //C26
6 2  //C27
9 8  //C28
3 9  //C29
5 8  //C30
7 1  //C31
1 9  //C32
0 7  //C33
0 9  //C34
5 0  //C35
2 5  //C36
8 9  //C37
8 4  //C38
2 5  //C39
1 4  //C40
4 7  //C41
4 7  //C42
4 3  //C43
2 5  //C44
0 2  //C45
1 2  //C46
0 1  //C47
0 7  //C48
8 4  //C49
