1 // server
3 // machine
100 // customer

 //p, q, a
6 9 0 //M0
2 9 0 //M1
6 9 0 //M2

 M0  M1  M2 
5 3 8  //C0
8 9 5  //C1
4 1 9  //C2
7 9 6  //C3
1 1 0  //C4
6 0 6  //C5
3 7 0  //C6
3 0 0  //C7
3 1 3  //C8
5 2 9  //C9
5 8 6  //C10
9 8 9  //C11
3 7 6  //C12
7 5 7  //C13
3 5 5  //C14
4 7 3  //C15
0 0 9  //C16
5 5 7  //C17
8 1 3  //C18
8 5 7  //C19
2 8 8  //C20
0 2 1  //C21
9 2 2  //C22
1 2 2  //C23
0 6 1  //C24
3 9 4  //C25
5 8 4  //C26
0 5 2  //C27
9 0 2  //C28
8 0 6  //C29
5 5 2  //C30
8 4 7  //C31
9 3 3  //C32
3 4 5  //C33
0 8 7  //C34
7 5 8  //C35
5 5 2  //C36
8 2 6  //C37
3 2 2  //C38
5 1 1  //C39
8 1 1  //C40
6 5 7  //C41
0 1 2  //C42
4 3 6  //C43
1 1 3  //C44
9 9 6  //C45
5 2 5  //C46
4 2 5  //C47
4 7 2  //C48
5 5 1  //C49
4 3 2  //C50
1 5 3  //C51
3 3 3  //C52
0 6 3  //C53
5 1 1  //C54
5 7 0  //C55
3 4 3  //C56
5 0 8  //C57
6 4 8  //C58
5 1 8  //C59
4 4 6  //C60
1 9 0  //C61
4 0 6  //C62
0 5 5  //C63
3 4 5  //C64
1 8 1  //C65
4 8 9  //C66
1 2 1  //C67
8 9 2  //C68
3 4 0  //C69
4 7 2  //C70
4 6 1  //C71
7 4 1  //C72
0 1 6  //C73
4 3 8  //C74
7 1 6  //C75
3 5 6  //C76
7 1 3  //C77
8 2 2  //C78
4 2 0  //C79
8 0 6  //C80
6 5 7  //C81
3 9 8  //C82
3 4 3  //C83
9 3 6  //C84
3 7 8  //C85
2 1 7  //C86
5 0 8  //C87
4 7 6  //C88
8 6 3  //C89
9 2 1  //C90
0 2 1  //C91
0 7 8  //C92
0 3 2  //C93
8 9 1  //C94
2 7 8  //C95
6 5 4  //C96
3 2 1  //C97
3 2 9  //C98
7 1 7  //C99
