1 // server
3 // machine
50 // customer

 //p, q, a
1 3 0 //M0
7 5 0 //M1
2 7 0 //M2

 M0  M1  M2 
3 1 0  //C0
3 0 7  //C1
6 8 4  //C2
6 6 5  //C3
1 7 5  //C4
5 7 3  //C5
9 2 7  //C6
1 9 4  //C7
0 7 5  //C8
8 7 9  //C9
9 9 4  //C10
7 0 0  //C11
8 9 3  //C12
7 1 0  //C13
5 1 9  //C14
7 3 7  //C15
4 4 4  //C16
4 4 8  //C17
9 2 2  //C18
6 2 3  //C19
1 8 1  //C20
5 6 7  //C21
0 3 6  //C22
4 7 8  //C23
9 2 1  //C24
7 5 7  //C25
5 3 3  //C26
8 3 2  //C27
4 5 4  //C28
6 8 7  //C29
7 2 7  //C30
0 5 3  //C31
8 0 4  //C32
1 6 0  //C33
1 0 7  //C34
5 4 2  //C35
7 2 7  //C36
4 0 8  //C37
9 2 4  //C38
8 0 1  //C39
2 4 5  //C40
8 6 4  //C41
1 9 6  //C42
7 8 4  //C43
3 3 7  //C44
3 7 3  //C45
4 8 1  //C46
2 8 6  //C47
0 3 1  //C48
8 1 3  //C49
